AC_YEAR,STATCD,DISTCD,STATNAME,DISTNAME,DISTRICTS,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,P_URB_POP,POPULATION_0_6,GROWTHRATE,SEXRATIO,P_SC_POP,P_ST_POP,OVERALL_LI,FEMALE_LIT,MALE_LIT,AREA_SQKM,TOT_6_10_15,TOT_11_13_15,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCH10
2015-16,20,2021,JHARKHAND,SIMDEGA,1,10,450,69,599813,7.16,91291.54,16.62,1000,7.45,70.78,67.59,59.38,75.84,3774,71105,40849,756,369,1,7,20,41,57,0,1251
2015-16,20,2022,JHARKHAND,LATEHAR,1,9,696,50,725673,7.05,132725.59,29.38,964,21.31,45.54,61.23,50.26,71.8,4291,106368,59901,878,435,2,0,13,52,10,0,1390
2015-16,20,2023,JHARKHAND,KHUNTI,1,6,657,63,530299,8.51,83309.97,21.96,994,4.52,73.25,64.51,53.71,75.33,2535,65466,37898,727,325,2,12,10,53,22,0,1151
2015-16,20,2024,JHARKHAND,RAMGARH,1,6,392,58,949159,44.13,130604.28,13.06,921,11.2,21.19,73.92,63.49,83.51,1341,102814,62988,510,299,25,3,6,90,19,0,952
2015-16,21,2101,ODISHA,BARGARH,1,15,1187,157,,,,,,,,,65.84,84.28,5837,117938,68481,1033,638,6,151,1,59,276,0,2164
2015-16,21,2102,ODISHA,JHARSUGUDA,1,8,385,60,,,,,,,,,70.05,86.27,2114,47299,28514,410,259,11,70,1,26,100,0,877
2015-16,21,2103,ODISHA,SAMBALPUR,1,14,996,149,,,,,,,,,68.47,85.17,6624,86777,52831,936,480,13,89,1,49,161,0,1729
2015-16,21,2104,ODISHA,DEOGARH,1,4,491,51,312164,7.61,38614.69,13.88,976,16.68,35.33,73.07,63.36,82.62,2940,29409,17696,370,211,0,49,1,8,77,0,716
2015-16,21,2105,ODISHA,SUNDERGARH,1,21,1594,222,2080664,35.5,249055.48,13.66,971,9.16,50.75,74.13,65.93,82.13,9712,186399,124326,1802,790,19,165,8,121,249,0,3154
2015-16,21,2106,ODISHA,KEONJHAR,1,17,1857,191,1802777,14.04,253470.45,15.42,987,11.62,45.45,69,58.7,79.22,8303,190338,115325,1775,798,5,300,4,60,441,0,3383
2015-16,21,2107,ODISHA,MAYURBHANJ,1,30,3238,384,2513895,7.67,337867.49,13.06,1005,7.33,58.72,63.98,53.18,74.92,10418,190338,115325,2897,1221,1,272,3,75,558,0,5027
2015-16,21,2108,ODISHA,BALASORE,1,16,1830,207,2317419,10.92,274382.41,14.47,957,20.62,11.88,80.66,72.95,88.06,3806,212273,136678,1628,805,4,464,0,24,534,0,3459
2015-16,21,2109,ODISHA,BHADRAK,1,9,1094,124,439917,12.33,59080.85,17.82,991,22.23,2.02,72.51,60.44,89.92,2505,134734,83297,1154,604,0,181,1,28,326,0,2294
2015-16,21,2110,ODISHA,KENDRAPARA,1,11,1238,152,1439891,5.8,153492.38,10.59,1006,21.51,0.66,85.93,79.51,92.45,2644,116471,74723,1218,619,0,214,1,15,356,0,2423
2015-16,21,2111,ODISHA,JAGATSINGHPUR,1,11,1051,130,1136604,10.2,103544.62,7.47,967,21.83,0.69,87.13,80.88,93.2,1668,78807,52368,1010,497,3,138,0,23,290,0,1961
2015-16,21,2112,ODISHA,CUTTACK,1,19,1515,214,2618708,27.94,251134.1,11.86,955,19,3.57,84.2,77.64,90.51,3932,192144,124601,1579,870,7,210,1,100,432,0,3199
2015-16,21,2113,ODISHA,JAJPUR,1,12,1448,152,1826275,7.39,207282.21,12.43,972,23.72,8.29,80.44,73.37,87.36,2899,154234,96296,1387,756,1,270,2,34,442,0,2892
2015-16,21,2114,ODISHA,DHENKANAL,1,12,913,140,1192948,9.83,132655.82,11.82,947,19.62,13.59,79.41,71.4,87.08,4452,100425,63145,896,584,1,143,1,21,255,0,1901
2015-16,21,2115,ODISHA,ANGUL,1,11,1220,134,1271703,16.23,145737.16,11.55,942,18.81,14.1,78.96,70.44,87.06,6375,109523,69902,970,577,9,104,1,35,236,0,1932
2015-16,21,2116,ODISHA,NAYAGARH,1,10,1024,103,962215,8.29,101321.24,11.3,916,14.17,6.1,79.17,71.08,86.63,3890,77317,51090,774,381,0,104,1,42,164,0,1466
2015-16,21,2117,ODISHA,KHORDHA,1,15,1097,182,2246341,48.11,222163.12,19.65,925,13.21,5.11,87.51,82.06,92.55,2813,167936,113339,1050,695,25,155,4,71,299,0,2299
2015-16,21,2118,ODISHA,PURI,1,15,1295,192,1697983,15.63,164364.75,13,963,19.14,0.36,85.37,78.67,91.84,3479,122397,84585,1316,659,11,236,1,27,337,0,2587
